,model_out_raw,history,text,restored_text
0,"Я из Твери, а ты откуда?","['Привет.', 'Привет. Откуда ты?']","Я из Твери, а ты?","Я из Твери, а ты откуда?"
1,"Да, я учусь в Питерском политехе. Жаль, что мы не вместе учимся, было бы забавно познакомиться лично. Ого, а кто у тебя живёт из животных? В любом случае, приятно было пообщаться! Мне надо идти - друзья уже в гости пришли.","['Привет.', 'Привет! Сколько тебе лет? Ты где-то учишься? Или уже работаешь?', 'Мне 20 лет, учусь в техникуме сейчас, а как насчёт тебя?', 'Здорово как учиться. Я тоже студент, ученье - свет! Не оправдали? А я учусь в политехе, правда, пока представления даже не имею, что это.', 'Как проводишь своё свободное время? Есть хобби? Я вот танцами увлекаюсь, хотя мои знакомые говорят, что это слишком странно для парня моего возраста. Но вот ничего не могу поделать, нравится мне и всё.', 'Если нравится, то нужно заниматься всем, что нравится, и никого не слушай. Всё моё свободное время я уделяю игре на гитаре, мы любим собираться с друзьями, а у меня много друзей, и заводим песнопения под моего любимого исполнителя, под гитару, а больше всего я люблю песни Высоцкого. А как ты относишься к музыке, есть любимые исполнители?', 'Вау, политех? Это Питерский политех, в который я тоже думал поступать, но как-то не срослось. Зато мне не пришлось отказываться от своей привычной жизни. У меня дома целый зоопарк, не знаю, как бы животные тут без меня жили. Ещё хуже могу представить, как я без своего зоопарка жил бы.']","Да, именно Питерский. Жаль, что не в месте учимся, забавно было бы тут познакомиться. Ого, а кто у тебя живёт из представителей фауны? В любом случае приятно было познакомиться! Мне пора! Друзья уже в гости пришли.","Да, именно Питерский политех. Жаль, что не вместе учимся, забавно было бы тут познакомиться. Ого, а кто у тебя живёт из представителей фауны? В любом случае приятно было познакомиться! Мне пора! Друзья уже в гости пришли."
2,"Моя семья — это мои любимые папа с мамой, а мои дети — это мои песики. Пока не встретила достойного мужчины, и больше никого мне не надо. А у тебя как с семьей?","['Приветики! Как дела?', 'Привет! Всё хорошо, а у тебя? Расскажи что-нибудь про себя, чем увлекаешься, например?', 'Да вот пришла с прогулки со своими бобиками, села почитать новости и расстроилась. Представляешь, умер Keith Flint.', 'Это да умер, целая эпоха с ним ушла. Тебе нравилась музыка Keith Flint, значит?', 'Увлекаюсь музыкой, да ничем особенным, просто стараюсь следить за своим здоровьем - в основном правильное питание, не ем мясо, ну и люблю гулять на свежем воздухе. Да, это же молодость) В своё время было круто!', 'Семья у тебя есть, дети?']","Мои дети - мои песики. Пока не нашла достойного мужчины. А семья - мои любимые папа с мамой, и больше пока никого не надо. А у тебя?","Мои дети - мои песики. Пока не нашла достойного мужчины. А семья - мои любимые папа с мамой, и больше пока никого не надо. А у тебя есть семья?"
3,Где ты живёшь – в городе или за городом? И какие фрукты ты любишь?,"['Привет.', 'Привет.', 'Расскажи о себе.', 'Я собираюсь летом отдыхать в необычном месте. А какие у тебя планы на лето? Хочешь взобраться на Эверест?', 'Это круто, что ты собираешься летом отдыхать в необычном месте! Не знаю насчет планов на лето, я просто люблю лето, это моя самая любимая пора. Нет, не хочу в Эверест, я никогда не была в горах и не хочу. А ты хочешь взобраться на Эверест?', 'А мы с девушкой планируем взобраться на Эверест. И хотим взять кота.', 'У тебя есть домашние животные?', 'Я еще не был на Эвересте, но обязательно покорю Эверест. У меня есть кот, а у тебя есть домашние животные? Тебе нравятся мотоциклы?', 'Тоже кот есть. Да, мне нравятся мотоциклы, но не так сильно. Я люблю на них смотреть больше, а тебе нравятся мотоциклы? Любишь фрукты?', 'У меня есть байк: моя девушка не любит, когда я на нём катаюсь. Люблю фрукты, а ты их любишь?', 'Фрукты обожаю.', 'А какие именно фрукты ты любишь? Я люблю не все фрукты.']",Где живёшь? В городе где-то? Какие любишь?,Где живёшь? В городе где-то? Какие фрукты любишь?
4,"Да, это самое главное. А с кем ты обычно работаешь?","['Здравствуй. Как тебе погодка?', 'Привет, я думаю, погодка нынче супер.', 'Мне тоже очень нравится погодка. Жду не дождусь, когда взойдут первые подснежники. Тогда можно будет взять кисточки и краски и немножко порисовать. А как ты проводишь свободное время?', 'Я люблю ходить в театр, люблю гулять по лесу, жду весну, не дождусь.', 'Что ж, до весны осталась пара денечков. А там и потепление. Можно будет взять ноутбук на улицу и поработать подсолнышком. Главное, чтобы связь была.']","Да, это самое главное, с кем ты работаешь?","Да, это самое главное что весна придет через пару дней, с кем ты работаешь?"
5,Иногда беру её с собой в путешествия. А у тебя кто?,"['Привет, ты откуда? Я фотограф. Люблю путешествия. Играю на гитаре. Почему ты молчишь?', 'Привет.', 'Чем ты занимаешься?', 'Ребёнок плакал, на него отвлеклась.', 'Аа, извини.', 'Когда шуршишь по хозяйству, ничего не успеваешь.', 'Да, ничего не успеваешь с хозяйством, у меня тоже дочка.', 'А вообще, я увлечена дизайном, но времени не остаётся. Взрослая дочь у тебя?', 'Нет, моя дочка маленькая, 4 года ей.', 'Путешествовать не мешает?']","Иногда беру ее с собой,  у тебя кто?","Иногда беру дочь с собой в путешествие, а у тебя кто из детей?"
6,Я всегда за новые знакомства.,"['Добрый вечер, вы не против новых знакомств?']",Я всегда за.,Я всегда за знакомства.
7,Я певица. А вы чем занимаетесь?,"['Привет.', 'Привет, Алла.', 'Чем вы занимаетесь?']",Певица. А вы?,Я певица. А вы чем занимаетесь?
8,"Я играю в футбол, чтобы не испортились зрение и осанка из-за долгого сидения за компьютером. А ещё катаюсь на велосипеде — правда, не знаю, можно ли это считать спортом. Просто я студент, и велосипед для меня ещё и бюджетный способ передвигаться.","['Привет.', 'О, привет! Рад новому знакомству! Ты откуда?', 'Я из Ярославля, но сейчас в Москве учусь на специальности программиста, приходится много за компьютером и в интернете работать.', 'Круто, ты из Ярославля. А я из Москвы. Живу здесь, потому что я музыкант.', 'На чём играешь?', 'Играю на гитаре, поэтому меня все любят и я чертовски привлекателен.', 'Ого, да ты крутой! А ты занимаешься спортом? Чтобы поддерживать форму?', 'Не, спортом не занимаюсь, я только каждый день хожу гулять в парк, на том мой спорт закончился. А у тебя какие отношения со спортом?']","Чтобы не испортить зрение и осанку за компьютером, я играю в футбол. Но катание на велосипеде можно назвать спортом? Просто я студент, и у меня мало денег, поэтому я езжу на нём.","Чтобы не испортить зрение и осанку за компьютером, я играю в футбол. Но катание на велосипеде можно назвать спортом? Просто я студент, и у меня мало денег, поэтому я езжу на велосипеде."
9,"Да, и учусь, и работаю.","['Привет.', 'Привет. Как дела?', 'Отлично у меня дела! А у тебя как дела?', 'Да неплохо мои дела. Устал только с утра пары в универе. Чем занимаешься?', 'Занимаюсь йогой. А у тебя какие увлечения? Я люблю играть на пианино.', 'У меня девушка тоже любит эту йогу, а я не понимаю, что интересного.', 'Какую музыку любишь? Я классику люблю слушать.', 'Я люблю пешком прогуливаться. После работы два часа иду домой. Работаю водителем, поэтому хочется пройтись. А я пока предпочитаю. Ты работаешь или учишься?', 'Т.е. ты работаешь и учишься?']","Да, и учусь, и работаю.","Да, я и учусь, и работаю."
